Sl. No.,Category,State/UT,Below 14 years - Male,Below 14 years - Female,Below 14 years - Transgender,Below 14 years - Total,14 and Above - Below 18 years - Male,14 and Above - Below 18 years - Female,14 and Above - Below 18 years - Transgender,14 and Above - Below 18 years - Total,18 and Above - Below 30 years - Male,18 and Above - Below 30 years - Female,18 and Above - Below 30 years - Transgender,18 and Above - Below 30 years - Total,30 and Above - Below 45 years - Male,30 and Above - Below 45 years - Female,30 and Above - Below 45 years - Transgender,30 and Above - Below 45 years - Total,45 and Above - Below 60 years - Male,45 and Above - Below 60 years - Female,45 and Above - Below 60 years - Transgender,45 and Above - Below 60 years - Total,60 years & Above - Male,60 years & Above - Female,60 years & Above - Transgender,60 years & Above - Total,Total - Male,Total - Female,Total - Transgender,Total
1,State,Andhra Pradesh,362,166,0,528,610,229,0,839,3747,761,0,4508,5471,924,1,6396,3116,582,0,3698,1329,510,0,1839,14635,3172,1,17808
2,State,Arunachal Pradesh,5,14,0,19,17,14,0,31,117,31,0,148,151,31,0,182,56,7,0,63,7,6,0,13,353,103,0,456
3,State,Assam,137,35,0,172,433,90,0,523,1322,294,0,1616,1474,410,3,1887,853,178,1,1032,231,54,0,285,4450,1061,4,5515
4,State,Bihar,705,280,0,985,1359,391,0,1750,2660,641,0,3301,1977,589,0,2566,1204,261,0,1465,402,102,0,504,8307,2264,0,10571
5,State,Chhattisgarh,806,445,0,1251,651,424,0,1075,4063,1553,1,5617,3853,1225,0,5078,2645,694,0,3339,1195,559,0,1754,13213,4900,1,18114
6,State,Goa,19,11,0,30,13,2,0,15,200,26,0,226,184,28,0,212,139,22,0,161,89,35,0,124,644,124,0,768
7,State,Gujarat,628,365,0,993,931,420,0,1351,5298,1515,0,6813,7262,1818,2,9082,5548,1021,2,6571,2057,543,0,2600,21724,5682,4,27410
8,State,Haryana,398,111,0,509,765,179,0,944,4018,670,0,4688,4276,586,0,4862,2665,277,1,2943,909,136,0,1045,13031,1959,1,14991
9,State,Himachal Pradesh,57,22,0,79,87,43,0,130,752,180,0,932,933,180,0,1113,638,128,0,766,306,36,0,342,2773,589,0,3362
10,State,Jammu & Kashmir,21,15,0,36,88,12,0,100,562,93,0,655,598,93,0,691,223,29,0,252,26,5,0,31,1518,247,0,1765
11,State,Jharkhand,162,61,0,223,562,169,0,731,1735,316,0,2051,1485,348,0,1833,869,236,0,1105,427,145,0,572,5240,1275,0,6515
12,State,Karnataka,470,263,0,733,763,282,0,1045,5282,1288,1,6571,7306,1696,3,9005,5430,1053,1,6484,1834,557,0,2391,21085,5139,5,26229
13,State,Kerala,236,123,0,359,265,67,0,332,1686,226,0,1912,2488,420,0,2908,3096,567,0,3663,2201,634,0,2835,9972,2037,0,12009
14,State,Madhya Pradesh,2134,1227,0,3361,2416,1327,0,3743,8896,3058,0,11954,9130,2933,1,12064,5826,1552,0,7378,2625,881,0,3506,31027,10978,1,42006
15,State,Maharashtra,1821,1271,0,3092,2347,769,0,3116,11707,3672,4,15383,17482,3909,1,21392,13991,2756,1,16748,6854,2517,0,9371,54202,14894,6,69102
16,State,Manipur,4,3,0,7,8,0,0,8,77,7,0,84,109,17,0,126,43,5,0,48,13,0,0,13,254,32,0,286
17,State,Meghalaya,13,10,0,23,12,3,0,15,139,11,0,150,131,18,0,149,50,7,0,57,18,9,0,27,363,58,0,421
18,State,Mizoram,9,9,0,18,6,4,0,10,46,4,0,50,62,12,0,74,36,5,0,41,7,3,0,10,166,37,0,203
19,State,Nagaland,2,1,0,3,7,2,0,9,24,2,0,26,19,2,0,21,11,1,0,12,8,0,0,8,71,8,0,79
20,State,Odisha,287,146,0,433,624,214,0,838,2350,749,0,3099,3306,921,0,4227,2137,638,0,2775,650,266,0,916,9354,2934,0,12288
21,State,Punjab,174,41,0,215,457,82,0,539,2294,370,1,2665,3790,471,0,4261,2327,305,0,2632,625,69,0,694,9667,1338,1,11006
22,State,Rajasthan,616,309,0,925,1721,504,0,2225,7237,1645,0,8882,7956,1650,0,9606,4503,805,1,5309,1179,285,0,1464,23212,5198,1,28411
23,State,Sikkim,7,3,0,10,4,2,0,6,80,16,0,96,76,14,0,90,52,11,0,63,21,4,0,25,240,50,0,290
24,State,Tamil Nadu,574,239,0,813,1018,410,0,1428,6198,1414,1,7613,8479,1810,0,10289,6959,1368,1,8328,3621,898,0,4519,26849,6139,2,32990
25,State,Telangana,285,101,0,386,724,180,0,904,2907,454,0,3361,4230,659,0,4889,2419,563,0,2982,851,207,0,1058,11416,2164,0,13580
26,State,Tripura,30,15,0,45,41,13,0,54,165,56,0,221,163,40,0,203,141,32,0,173,46,17,0,63,586,173,0,759
27,State,Uttar Pradesh,1242,415,1,1658,3007,674,0,3681,8688,1984,1,10673,8155,1916,2,10073,4830,902,11,5743,1813,425,2,2240,27735,6316,17,34068
28,State,Uttarakhand,26,9,0,35,99,12,0,111,382,100,0,482,500,93,0,593,250,38,0,288,113,16,0,129,1370,268,0,1638
29,State,West Bengal,353,156,0,509,1191,341,0,1532,4304,1165,0,5469,4168,1158,0,5326,2427,728,0,3155,922,281,0,1203,13365,3829,0,17194
State,State,Total (States),11583,5866,1,17450,20226,6859,0,27085,86936,22301,9,109246,105214,23971,13,129198,72484,14771,19,87274,30379,9200,2,39581,326822,82968,44,409834
30,Union Territory,A & N Islands,7,5,0,12,5,2,0,7,19,12,0,31,62,6,0,68,64,14,0,78,29,17,0,46,186,56,0,242
31,Union Territory,Chandigarh,8,4,0,12,16,3,0,19,80,16,0,96,102,24,0,126,74,17,0,91,64,18,0,82,344,82,0,426
32,Union Territory,D & N Haveli,1,3,0,4,8,2,0,10,31,10,0,41,26,8,0,34,23,4,0,27,2,1,0,3,91,28,0,119
33,Union Territory,Daman & Diu,4,7,0,11,1,1,0,2,45,8,0,53,51,7,0,58,33,1,0,34,10,3,0,13,144,27,0,171
34,Union Territory,Delhi (UT),99,76,0,175,221,117,0,338,1891,352,1,2244,2043,343,0,2386,1024,158,0,1182,179,75,0,254,5457,1121,1,6579
35,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,4,5,0,0,5,2,0,0,2,12,0,0,12
36,Union Territory,Puducherry,9,3,0,12,14,2,0,16,130,28,0,158,253,22,0,275,225,19,0,244,117,16,0,133,748,90,0,838
Union Territory,Union Territory,Total (UTs),128,98,0,226,265,127,0,392,2197,426,1,2624,2541,410,0,2951,1448,213,0,1661,403,130,0,533,6982,1404,1,8387
Total (All India),Total (All India),Total (All India),11711,5964,1,17676,20491,6986,0,27477,89133,22727,10,111870,107755,24381,13,132149,73932,14984,19,88935,30782,9330,2,40114,333804,84372,45,418221
37,City,Agra,28,12,0,40,51,22,0,73,110,27,0,137,162,44,0,206,132,15,0,147,36,11,0,47,519,131,0,650
38,City,Ahmedabad,30,29,0,59,40,18,0,58,342,115,0,457,592,143,0,735,543,67,0,610,269,65,0,334,1816,437,0,2253
39,City,Allahabad,52,14,0,66,89,36,0,125,169,60,0,229,103,42,0,145,81,16,0,97,39,10,0,49,533,178,0,711
40,City,Amritsar,2,7,0,9,28,3,0,31,69,15,0,84,80,10,0,90,104,4,0,108,33,0,0,33,316,39,0,355
41,City,Asansol,3,4,0,7,104,30,0,134,674,215,0,889,301,80,0,381,36,1,0,37,0,2,0,2,1118,332,0,1450
42,City,Aurangabad,20,10,0,30,20,9,0,29,121,64,0,185,243,86,0,329,247,34,0,281,91,21,0,112,742,224,0,966
43,City,Bengaluru,72,44,0,116,59,24,0,83,617,126,1,744,1079,167,1,1247,870,138,0,1008,461,97,0,558,3158,596,2,3756
44,City,Bhopal,53,34,0,87,179,85,0,264,551,128,0,679,622,279,0,901,660,118,0,778,264,25,0,289,2329,669,0,2998
45,City,Chandigarh (City),8,4,0,12,15,3,0,18,75,16,0,91,100,23,0,123,73,17,0,90,64,18,0,82,335,81,0,416
46,City,Chennai,73,29,0,102,58,12,0,70,583,67,0,650,933,112,0,1045,1051,159,1,1211,789,214,0,1003,3487,593,1,4081
47,City,Coimbatore,9,4,0,13,22,1,0,23,89,13,0,102,137,29,0,166,134,32,0,166,87,26,0,113,478,105,0,583
48,City,Delhi (City),79,73,0,152,177,91,0,268,1536,287,1,1824,1677,278,0,1955,900,141,0,1041,167,61,0,228,4536,931,1,5468
49,City,Dhanbad,3,0,0,3,20,0,0,20,50,13,0,63,38,4,0,42,26,3,0,29,19,6,0,25,156,26,0,182
50,City,Durg Bhilainagar,31,14,0,45,17,7,0,24,130,39,0,169,195,41,0,236,165,27,0,192,61,40,0,101,599,168,0,767
51,City,Faridabad,71,11,0,82,67,30,0,97,292,49,0,341,209,25,0,234,131,13,0,144,36,10,0,46,806,138,0,944
52,City,Ghaziabad,36,5,0,41,56,16,0,72,233,34,0,267,199,31,0,230,119,17,0,136,33,1,0,34,676,104,0,780
53,City,Gwalior,5,3,0,8,14,7,0,21,85,10,0,95,78,6,0,84,22,2,0,24,16,5,0,21,220,33,0,253
54,City,Hyderabad,31,11,0,42,169,9,0,178,265,55,0,320,357,64,0,421,166,51,0,217,46,20,0,66,1034,210,0,1244
55,City,Indore,47,30,0,77,32,16,0,48,214,66,0,280,262,55,0,317,209,30,0,239,87,27,0,114,851,224,0,1075
56,City,Jabalpur,47,12,0,59,126,19,0,145,252,63,0,315,111,50,0,161,25,12,0,37,14,3,0,17,575,159,0,734
57,City,Jaipur,58,42,0,100,86,33,0,119,792,127,0,919,1073,139,0,1212,580,76,0,656,154,52,0,206,2743,469,0,3212
58,City,Jamshedpur,7,9,0,16,27,8,0,35,63,31,0,94,70,22,0,92,53,17,0,70,19,7,0,26,239,94,0,333
59,City,Jodhpur,12,3,0,15,25,9,0,34,251,41,0,292,295,62,0,357,214,27,0,241,10,2,0,12,807,144,0,951
60,City,Kannur,0,1,0,1,5,1,0,6,15,4,0,19,50,6,0,56,44,7,0,51,33,10,0,43,147,29,0,176
61,City,Kanpur,17,7,0,24,76,32,0,108,324,43,0,367,345,45,0,390,218,27,0,245,33,5,0,38,1013,159,0,1172
62,City,Kochi,11,4,0,15,5,2,0,7,77,10,0,87,91,14,0,105,130,12,0,142,101,21,0,122,415,63,0,478
63,City,Kolkata,11,0,0,11,70,14,0,84,181,23,0,204,265,26,0,291,122,16,0,138,11,8,0,19,660,87,0,747
64,City,Kollam,4,5,0,9,6,0,0,6,62,8,0,70,87,18,0,105,113,28,0,141,83,25,0,108,355,84,0,439
65,City,Kota,21,3,0,24,73,33,0,106,182,64,0,246,105,13,0,118,25,2,0,27,9,1,0,10,415,116,0,531
66,City,Kozhikode,9,7,0,16,11,2,0,13,57,8,0,65,68,9,0,77,121,27,0,148,94,20,0,114,360,73,0,433
67,City,Lucknow,9,6,0,15,24,2,0,26,110,24,0,134,155,24,0,179,50,15,0,65,3,4,0,7,351,75,0,426
68,City,Ludhiana,21,9,0,30,21,8,0,29,191,28,0,219,291,50,0,341,250,19,0,269,66,12,0,78,840,126,0,966
69,City,Madurai,10,5,0,15,35,1,0,36,87,15,0,102,131,34,0,165,137,26,0,163,77,32,0,109,477,113,0,590
70,City,Malappuram,5,5,0,10,5,1,0,6,38,2,0,40,64,7,0,71,49,5,0,54,27,5,0,32,188,25,0,213
71,City,Meerut,3,1,0,4,30,2,0,32,66,12,0,78,80,12,0,92,22,7,0,29,1,0,0,1,202,34,0,236
72,City,Mumbai,298,273,0,571,129,74,0,203,1192,416,0,1608,1967,441,0,2408,1812,390,0,2202,1149,572,0,1721,6547,2166,0,8713
73,City,Nagpur,34,25,0,59,52,30,0,82,286,80,0,366,533,93,0,626,488,79,0,567,249,89,0,338,1642,396,0,2038
74,City,Nasik,46,31,0,77,16,7,0,23,143,43,0,186,307,67,0,374,357,53,0,410,228,85,0,313,1097,286,0,1383
75,City,Patna,17,8,0,25,185,19,0,204,129,17,0,146,22,4,0,26,15,2,0,17,4,3,0,7,372,53,0,425
76,City,Pune,267,276,0,543,71,26,0,97,706,227,1,934,1324,268,0,1592,1299,282,0,1581,669,243,0,912,4336,1322,1,5659
77,City,Raipur,42,15,0,57,16,10,0,26,235,44,0,279,264,45,0,309,185,26,0,211,109,17,0,126,851,157,0,1008
78,City,Rajkot,19,6,0,25,30,18,0,48,214,57,0,271,240,119,0,359,261,89,0,350,126,22,0,148,890,311,0,1201
79,City,Ranchi,13,8,0,21,23,6,0,29,165,18,0,183,114,23,0,137,82,26,0,108,41,13,0,54,438,94,0,532
80,City,Srinagar,0,0,0,0,0,2,0,2,57,7,0,64,125,12,0,137,52,6,0,58,1,0,0,1,235,27,0,262
81,City,Surat,97,60,0,157,53,16,0,69,418,93,0,511,670,109,0,779,585,83,0,668,224,78,0,302,2047,439,0,2486
82,City,Thiruvananthapuram,1,3,0,4,5,3,0,8,31,10,0,41,115,11,0,126,186,34,0,220,160,45,0,205,498,106,0,604
83,City,Thrissur,5,6,0,11,6,3,0,9,58,3,0,61,64,16,0,80,107,25,0,132,103,34,0,137,343,87,0,430
84,City,Tiruchirappalli,5,0,0,5,10,2,0,12,39,6,0,45,72,12,0,84,85,18,0,103,33,19,0,52,244,57,0,301
85,City,Vadodara,11,6,0,17,11,7,0,18,162,39,0,201,291,56,0,347,204,28,0,232,100,17,0,117,779,153,0,932
86,City,Varanasi,4,5,0,9,18,4,0,22,63,20,0,83,71,18,0,89,59,10,1,70,19,17,2,38,234,74,3,311
87,City,Vasai Virar,58,43,0,101,85,19,0,104,153,62,0,215,218,50,0,268,172,40,0,212,66,38,0,104,752,252,0,1004
88,City,Vijayawada,23,6,0,29,15,2,0,17,139,17,0,156,205,32,0,237,145,21,0,166,92,42,0,134,619,120,0,739
89,City,Vishakhapatnam,6,8,0,14,25,13,0,38,145,62,0,207,228,49,0,277,142,25,0,167,74,26,0,100,620,183,0,803
City,City,Total (Cities),1844,1236,0,3080,2592,847,0,3439,13288,3123,3,16414,17478,3475,1,20954,14058,2445,2,16505,6780,2226,2,9008,56040,13352,8,69400
