Sl. No.,Category,State/UT,less than `1 lakh - Male,less than `1 lakh - Female,less than `1 lakh - Transgender,less than `1 lakh - Total,`1 lakh & above - less than `5 lakhs - Male,`1 lakh & above - less than `5 lakhs - Female,`1 lakh & above - less than `5 lakhs - Transgender,`1 lakh & above - less than `5 lakhs - Total,`5 lakhs & above - less than `10 lakhs - Male,`5 lakhs & above - less than `10 lakhs - Female,`5 lakhs & above - less than `10 lakhs - Transgender,`5 lakhs & above - less than `10 lakhs - Total,`10 lakhs and above - Male,`10 lakhs and above - Female,`10 lakhs and above - Transgender,`10 lakhs and aboves - Total,Total - Male,Total - Female,Total - Transgender,Total
1,State,ANDHRA PRADESH,3118,1418,0,4536,1013,416,0,1429,139,68,0,207,37,17,0,54,4307,1919,0,6226
2,State,ARUNACHAL PRADESH,77,42,0,119,9,4,0,13,3,0,0,3,0,0,0,0,89,46,0,135
3,State,ASSAM,2023,731,0,2754,310,136,0,446,1,0,0,1,30,0,0,30,2364,867,0,3231
4,State,BIHAR,131,105,0,236,141,110,0,251,18,10,0,28,0,1,0,1,290,226,0,516
5,State,CHHATTISGARH,2807,1257,0,4064,1421,605,1,2027,738,281,0,1019,8,0,0,8,4974,2143,1,7118
6,State,GOA,152,55,0,207,65,24,0,89,2,3,0,5,1,0,0,1,220,82,0,302
7,State,GUJARAT,3494,2067,0,5561,1184,463,0,1647,26,12,0,38,0,0,0,0,4704,2542,0,7246
8,State,HARYANA,1194,387,0,1581,1231,293,0,1524,373,59,0,432,6,2,0,8,2804,741,0,3545
9,State,HIMACHAL PRADESH,219,126,0,345,111,65,0,176,17,5,0,22,0,0,0,0,347,196,0,543
10,State,JAMMU & KASHMIR,159,134,0,293,43,36,0,79,0,0,0,0,0,0,0,0,202,170,0,372
11,State,JHARKHAND,444,218,0,662,104,42,0,146,16,8,0,24,3,0,0,3,567,268,0,835
12,State,KARNATAKA,5760,2624,0,8384,1595,677,0,2272,80,25,0,105,19,6,0,25,7454,3332,0,10786
13,State,KERALA,4273,1424,0,5697,1322,354,0,1676,207,76,0,283,26,10,0,36,5828,1864,0,7692
14,State,MADHYA PRADESH,4050,2692,0,6742,2060,1164,0,3224,157,129,0,286,27,14,0,41,6294,3999,0,10293
15,State,MAHARASHTRA,8796,3271,2,12069,3540,912,0,4452,301,119,0,420,17,12,0,29,12654,4314,2,16970
16,State,MANIPUR,10,10,0,20,11,6,0,17,0,0,0,0,0,0,0,0,21,16,0,37
17,State,MEGHALAYA,112,35,0,147,19,6,0,25,0,0,0,0,0,0,0,0,131,41,0,172
18,State,MIZORAM,67,15,0,82,34,7,0,41,0,0,0,0,0,0,0,0,101,22,0,123
19,State,NAGALAND,7,2,0,9,9,3,0,12,0,0,0,0,0,0,0,0,16,5,0,21
20,State,ODISHA,1664,1263,0,2927,535,336,0,871,52,38,0,90,124,75,0,199,2375,1712,0,4087
21,State,PUNJAB,430,154,0,584,315,71,0,386,53,7,0,60,18,1,0,19,816,233,0,1049
22,State,RAJASTHAN,1503,639,0,2142,947,266,0,1213,80,15,0,95,7,0,0,7,2537,920,0,3457
23,State,SIKKIM,158,67,0,225,12,4,0,16,0,0,0,0,0,0,0,0,170,71,0,241
24,State,TAMIL NADU,7573,3905,2,11480,2899,1063,0,3962,220,62,0,282,42,11,0,53,10734,5041,2,15777
25,State,TELANGANA,4665,1858,2,6525,1338,422,0,1760,435,133,0,568,871,416,0,1287,7309,2829,2,10140
26,State,TRIPURA,376,234,0,610,80,29,0,109,19,8,0,27,0,0,0,0,475,271,0,746
27,State,UTTAR PRADESH,1444,1108,0,2552,730,426,0,1156,96,64,0,160,19,15,0,34,2289,1613,0,3902
28,State,UTTARAKHAND,306,117,0,423,40,12,0,52,0,0,0,0,0,0,0,0,346,129,0,475
29,State,WEST BENGAL,6319,4285,0,10604,2339,1101,0,3440,367,146,0,513,40,5,0,45,9065,5537,0,14602
TOTAL (STATES),TOTAL (STATES),TOTAL (STATES),61331,30243,6,91580,23457,9053,1,32511,3400,1268,0,4668,1295,585,0,1880,89483,41149,7,130639
30,Union Territories,A & N ISLANDS,96,45,0,141,11,5,0,16,1,0,0,1,0,0,0,0,108,50,0,158
31,Union Territories,CHANDIGARH,53,42,0,95,19,4,0,23,2,1,0,3,0,0,0,0,74,47,0,121
32,Union Territories,D & N HAVELI,41,16,0,57,28,16,0,44,5,0,0,5,0,0,0,0,74,32,0,106
33,Union Territories,DAMAN & DIU,16,13,0,29,9,0,0,9,0,0,0,0,0,0,0,0,25,13,0,38
34,Union Territories,DELHI (UT),686,392,0,1078,469,235,0,704,41,21,0,62,1,0,0,1,1197,648,0,1845
35,Union Territories,LAKSHADWEEP,4,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,5
36,Union Territories,PUDUCHERRY,467,134,0,601,92,14,0,106,4,0,0,4,0,0,0,0,563,148,0,711
TOTAL (UTs),TOTAL (UTs),TOTAL (UTs),1363,643,0,2006,628,274,0,902,53,22,0,75,1,0,0,1,2045,939,0,2984
TOTAL (ALL INDIA),TOTAL (ALL INDIA),TOTAL (ALL INDIA),62694,30886,6,93586,24085,9327,1,33413,3453,1290,0,4743,1296,585,0,1881,91528,42088,7,133623
