Sl. No.,Category,State/UT,less than `1 lakh - Male,less than `1 lakh - Female,less than `1 lakh - Transgender,less than `1 lakh - Total,`1 lakh & above - less than `5 lakhs - Male,`1 lakh & above - less than `5 lakhs - Female,`1 lakh & above - less than `5 lakhs - Transgender,`1 lakh & above - less than `5 lakhs - Total,`5 lakhs & above - less than `10 lakhs - Male,`5 lakhs & above - less than `10 lakhs - Female,`5 lakhs & above - less than `10 lakhs - Transgender,`5 lakhs & above - less than `10 lakhs - Total,`10 lakhs and above - Male,`10 lakhs and above - Female,`10 lakhs and above - Transgender,`10 lakhs and above - Total,Total - Male,Total - Female,Total - Transgender,Total - Total
1,State,Andhra Pradesh,2427,951,4,3382,1093,429,0,1522,250,94,0,344,68,38,0,106,3838,1512,4,5354
2,State,Arunachal Pradesh,59,30,0,89,0,0,0,0,0,0,0,0,0,0,0,0,59,30,0,89
3,State,Assam,879,439,0,1318,663,234,0,897,45,16,0,61,0,0,0,0,1587,689,0,2276
4,State,Bihar,86,59,0,145,90,106,0,196,13,18,0,31,7,9,0,16,196,192,0,388
5,State,Chhattisgarh,3104,1354,0,4458,955,355,0,1310,92,38,0,130,266,148,0,414,4417,1895,0,6312
6,State,Goa,114,55,0,169,75,25,0,100,2,2,0,4,0,0,0,0,191,82,0,273
7,State,Gujarat,3241,1967,1,5209,1445,582,0,2027,150,31,0,181,1,0,0,1,4837,2580,1,7418
8,State,Haryana,934,297,0,1231,1314,365,0,1679,357,49,0,406,57,14,0,71,2662,725,0,3387
9,State,Himachal Pradesh,153,155,0,308,167,83,0,250,15,2,0,17,1,0,0,1,336,240,0,576
10,State,Jammu & Kashmir,87,62,0,149,58,72,0,130,2,1,0,3,2,3,0,5,149,138,0,287
11,State,Jharkhand,537,181,0,718,318,122,0,440,25,17,0,42,8,6,0,14,888,326,0,1214
12,State,Karnataka,5205,2000,1,7206,3047,996,0,4043,305,154,0,459,5,3,0,8,8562,3153,1,11716
13,State,Kerala,4086,1456,0,5542,1831,287,0,2118,172,28,0,200,9,1,0,10,6098,1772,0,7870
14,State,Madhya Pradesh,5463,3492,0,8955,1805,831,0,2636,142,25,0,167,9,3,0,12,7419,4351,0,11770
15,State,Maharashtra,8367,3027,1,11395,4268,1216,0,5484,576,136,0,712,33,22,0,55,13244,4401,1,17646
16,State,Manipur,19,16,0,35,8,0,0,8,0,0,0,0,0,0,0,0,27,16,0,43
17,State,Meghalaya,87,30,0,117,40,6,0,46,2,0,0,2,0,0,0,0,129,36,0,165
18,State,Mizoram,76,15,0,91,0,0,0,0,0,0,0,0,0,0,0,0,76,15,0,91
19,State,Nagaland,11,6,0,17,9,2,0,11,5,0,0,5,0,0,0,0,25,8,0,33
20,State,Odisha,793,659,0,1452,1363,1653,0,3016,15,8,0,23,2,0,0,2,2173,2320,0,4493
21,State,Punjab,673,245,0,918,393,75,0,468,47,6,0,53,41,1,0,42,1154,327,0,1481
22,State,Rajasthan,1594,731,0,2325,1102,312,0,1414,65,16,0,81,14,4,0,18,2775,1063,0,3838
23,State,Sikkim,155,52,0,207,4,0,0,4,2,1,0,3,0,0,0,0,161,53,0,214
24,State,Tamil Nadu,7287,3675,6,10968,2236,758,0,2994,313,118,0,431,45,21,0,66,9881,4572,6,14459
25,State,Telangana,2661,1309,0,3970,1702,659,0,2361,661,242,0,903,242,144,0,386,5266,2354,0,7620
26,State,Tripura,269,161,0,430,114,51,0,165,61,20,0,81,10,6,0,16,454,238,0,692
27,State,Uttar Pradesh,1668,1492,0,3160,803,316,0,1119,71,60,0,131,12,4,0,16,2554,1872,0,4426
28,State,Uttarakhand,55,61,0,116,145,60,0,205,10,0,0,10,0,0,0,0,210,121,0,331
29,State,West Bengal,5195,3628,0,8823,1970,1086,1,3057,77,56,0,133,1,0,0,1,7243,4770,1,12014
State,State,Total (States),55285,27605,13,82903,27018,10681,1,37700,3475,1138,0,4613,833,427,0,1260,86611,39851,14,126476
30,Union Territory,A & N Islands,32,27,0,59,67,3,0,70,9,1,0,10,0,0,0,0,108,31,0,139
31,Union Territory,Chandigarh,56,32,0,88,21,4,0,25,0,0,0,0,0,0,0,0,77,36,0,113
32,Union Territory,D & N Haveli,40,22,0,62,10,3,0,13,0,0,0,0,0,0,0,0,50,25,0,75
33,Union Territory,Daman & Diu,19,12,0,31,10,0,0,10,0,0,0,0,0,0,0,0,29,12,0,41
34,Union Territory,Delhi (UT),1052,451,2,1505,568,277,0,845,67,36,0,103,7,2,0,9,1694,766,2,2462
35,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Union Territory,Puducherry,195,91,0,286,255,40,0,295,0,0,0,0,0,0,0,0,450,131,0,581
Union Territory,Union Territory,Total (UTs),1394,635,2,2031,931,327,0,1258,76,37,0,113,7,2,0,9,2408,1001,2,3411
Total (All India),Total (All India),Total (All India),56679,28240,15,84934,27949,11008,1,38958,3551,1175,0,4726,840,429,0,1269,89019,40852,16,129887
