Sl. No.,Category,State/UT,less than `1 lakh - Male,less than `1 lakh - Female,less than `1 lakh - Transgender,less than `1 lakh - Total,1 lakh & above - less than 5 lakhs - Male,1 lakh & above - less than 5 lakhs - Female,1 lakh & above - less than 5 lakhs - Transgender,1 lakh & above - less than 5 lakhs - Total,5 lakhs & above - less than 10 lakhs - Male,5 lakhs & above - less than 10 lakhs - Female,5 lakhs & above - less than 10 lakhs - Transgender,5 lakhs & above - less than 10 lakhs - Total,10 lakhs and above - Male,10 lakhs and above - Female,10 lakhs and above - Transgender,10 lakhs and above - Total,Total - Male,Total - Female,Total - Transgender,Total - Total
1,State,Andhra Pradesh,2346,964,2,3312,1200,506,0,1706,148,73,0,221,57,23,0,80,3751,1566,2,5319
2,State,Arunachal Pradesh,65,26,0,91,20,10,0,30,11,0,0,11,0,0,0,0,96,36,0,132
3,State,Assam,1051,445,0,1496,482,224,0,706,143,34,0,177,0,0,0,0,1676,703,0,2379
4,State,Bihar,105,75,0,180,109,85,0,194,35,19,0,54,9,6,0,15,258,185,0,443
5,State,Chhattisgarh,3566,1559,0,5125,972,304,0,1276,422,202,0,624,19,2,0,21,4979,2067,0,7046
6,State,Goa,116,34,0,150,77,27,0,104,2,0,0,2,0,0,0,0,195,61,0,256
7,State,Gujarat,3629,2089,0,5718,1512,482,0,1994,66,12,0,78,3,0,0,3,5210,2583,0,7793
8,State,Haryana,1088,349,0,1437,1339,352,0,1691,281,50,0,331,74,14,0,88,2782,765,0,3547
9,State,Himachal Pradesh,262,180,0,442,204,64,0,268,21,3,0,24,6,0,0,6,493,247,0,740
10,State,Jammu & Kashmir,97,117,0,214,55,58,0,113,2,0,0,2,1,0,0,1,155,175,0,330
11,State,Jharkhand,485,264,0,749,392,125,0,517,28,17,0,45,4,2,0,6,909,408,0,1317
12,State,Karnataka,5342,2230,3,7575,2829,832,0,3661,227,74,0,301,17,7,0,24,8415,3143,3,11561
13,State,Kerala,4134,1376,0,5510,2023,422,0,2445,187,71,0,258,20,4,0,24,6364,1873,0,8237
14,State,Madhya Pradesh,5312,3465,1,8778,1908,818,0,2726,170,48,0,218,36,17,0,53,7426,4348,1,11775
15,State,Maharashtra,8667,3181,0,11848,4302,1042,1,5345,486,227,0,713,42,24,0,66,13497,4474,1,17972
16,State,Manipur,27,16,0,43,8,1,0,9,0,0,0,0,0,0,0,0,35,17,0,52
17,State,Meghalaya,118,33,0,151,30,5,0,35,3,0,0,3,0,0,0,0,151,38,0,189
18,State,Mizoram,40,11,0,51,24,1,0,25,3,0,0,3,0,0,0,0,67,12,0,79
19,State,Nagaland,22,5,0,27,7,1,0,8,1,0,0,1,0,0,0,0,30,6,0,36
20,State,Odisha,610,383,0,993,1286,1583,0,2869,411,319,0,730,0,0,0,0,2307,2285,0,4592
21,State,Punjab,776,298,1,1075,411,40,0,451,57,10,0,67,111,10,0,121,1355,358,1,1714
22,State,Rajasthan,1855,843,0,2698,1139,375,1,1515,81,20,0,101,13,6,0,19,3088,1244,1,4333
23,State,Sikkim,137,51,0,188,6,5,0,11,0,0,0,0,0,0,0,0,143,56,0,199
24,State,Tamil Nadu,6484,3555,2,10041,2508,1035,0,3543,156,105,0,261,31,20,0,51,9179,4715,2,13896
25,State,Telangana,3223,1380,0,4603,1623,626,0,2249,631,166,0,797,135,61,0,196,5612,2233,0,7845
26,State,Tripura,358,181,0,539,121,36,0,157,11,8,0,19,3,2,0,5,493,227,0,720
27,State,Uttar Pradesh,2060,1537,0,3597,746,348,0,1094,73,62,0,135,12,11,0,23,2891,1958,0,4849
28,State,Uttarakhand,98,99,0,197,151,73,0,224,0,0,0,0,0,0,0,0,249,172,0,421
29,State,West Bengal,5698,4191,0,9889,1894,1083,0,2977,238,151,0,389,0,0,0,0,7830,5425,0,13255
State,State,Total (States),57771,28937,9,86717,27378,10563,2,37943,3894,1671,0,5565,593,209,0,802,89636,41380,11,131027
30,Union Territory,A & N Islands,41,43,0,84,64,10,0,74,4,1,0,5,1,0,0,1,110,54,0,164
31,Union Territory,Chandigarh,103,36,0,139,15,4,0,19,2,0,0,2,0,0,0,0,120,40,0,160
32,Union Territory,D & N Haveli,55,32,0,87,8,6,0,14,0,0,0,0,0,0,0,0,63,38,0,101
33,Union Territory,Daman & Diu,10,6,0,16,19,0,0,19,0,0,0,0,0,0,0,0,29,6,0,35
34,Union Territory,Delhi (UT),1026,415,0,1441,689,321,0,1010,59,11,0,70,5,0,0,5,1779,747,0,2526
35,Union Territory,Lakshadweep,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,3
36,Union Territory,Puducherry,374,126,0,500,0,0,0,0,0,0,0,0,0,0,0,0,374,126,0,500
Union Territory,Union Territory,Total (UTs),1611,658,0,2269,796,341,0,1137,65,12,0,77,6,0,0,6,2478,1011,0,3489
Total (All India),Total (All India),Total (All India),59382,29595,9,88986,28174,10904,2,39080,3959,1683,0,5642,599,209,0,808,92114,42391,11,134516
